number,parity,band,decade_group
1,odd,low,00-09
2,even,low,00-09
3,odd,low,00-09
4,even,low,00-09
5,odd,low,00-09
6,even,low,00-09
7,odd,low,00-09
8,even,low,00-09
9,odd,low,00-09
10,even,low,10-19
11,odd,low,10-19
12,even,low,10-19
13,odd,low,10-19
14,even,low,10-19
15,odd,low,10-19
16,even,low,10-19
17,odd,low,10-19
18,even,low,10-19
19,odd,low,10-19
20,even,low,20-29
21,odd,low,20-29
22,even,low,20-29
23,odd,low,20-29
24,even,low,20-29
25,odd,low,20-29
26,even,low,20-29
27,odd,low,20-29
28,even,high,20-29
29,odd,high,20-29
30,even,high,30-39
31,odd,high,30-39
32,even,high,30-39
33,odd,high,30-39
34,even,high,30-39
35,odd,high,30-39
36,even,high,30-39
37,odd,high,30-39
38,even,high,30-39
39,odd,high,30-39
40,even,high,40-49
41,odd,high,40-49
42,even,high,40-49
43,odd,high,40-49
44,even,high,40-49
45,odd,high,40-49
46,even,high,40-49
47,odd,high,40-49
48,even,high,40-49
49,odd,high,40-49
50,even,high,50-59
51,odd,high,50-59
52,even,high,50-59
53,odd,high,50-59
54,even,high,50-59
55,odd,high,50-59
