draw_id,draw_date,position,number,is_special
00001,2017-08-01,1,5,False
00001,2017-08-01,2,10,False
00001,2017-08-01,3,14,False
00001,2017-08-01,4,23,False
00001,2017-08-01,5,24,False
00001,2017-08-01,6,38,False
00001,2017-08-01,7,35,True
00002,2017-08-03,1,4,False
00002,2017-08-03,2,9,False
00002,2017-08-03,3,24,False
00002,2017-08-03,4,25,False
00002,2017-08-03,5,27,False
00002,2017-08-03,6,45,False
00002,2017-08-03,7,40,True
00003,2017-08-05,1,1,False
00003,2017-08-05,2,5,False
00003,2017-08-05,3,11,False
00003,2017-08-05,4,32,False
00003,2017-08-05,5,40,False
00003,2017-08-05,6,45,False
00003,2017-08-05,7,43,True
00004,2017-08-08,1,19,False
00004,2017-08-08,2,36,False
00004,2017-08-08,3,39,False
00004,2017-08-08,4,41,False
00004,2017-08-08,5,46,False
00004,2017-08-08,6,51,False
00004,2017-08-08,7,38,True
00005,2017-08-10,1,10,False
00005,2017-08-10,2,11,False
00005,2017-08-10,3,19,False
00005,2017-08-10,4,41,False
00005,2017-08-10,5,50,False
00005,2017-08-10,6,54,False
00005,2017-08-10,7,3,True
00006,2017-08-12,1,6,False
00006,2017-08-12,2,16,False
00006,2017-08-12,3,20,False
00006,2017-08-12,4,32,False
00006,2017-08-12,5,38,False
00006,2017-08-12,6,51,False
00006,2017-08-12,7,34,True
00007,2017-08-15,1,7,False
00007,2017-08-15,2,11,False
00007,2017-08-15,3,19,False
00007,2017-08-15,4,32,False
00007,2017-08-15,5,33,False
00007,2017-08-15,6,51,False
00007,2017-08-15,7,30,True
00008,2017-08-17,1,11,False
00008,2017-08-17,2,12,False
00008,2017-08-17,3,20,False
00008,2017-08-17,4,30,False
00008,2017-08-17,5,32,False
00008,2017-08-17,6,34,False
00008,2017-08-17,7,53,True
00009,2017-08-19,1,7,False
00009,2017-08-19,2,11,False
00009,2017-08-19,3,13,False
00009,2017-08-19,4,15,False
00009,2017-08-19,5,26,False
00009,2017-08-19,6,51,False
00009,2017-08-19,7,36,True
00010,2017-08-22,1,10,False
00010,2017-08-22,2,24,False
00010,2017-08-22,3,31,False
00010,2017-08-22,4,32,False
00010,2017-08-22,5,38,False
00010,2017-08-22,6,44,False
00010,2017-08-22,7,14,True
00011,2017-08-24,1,5,False
00011,2017-08-24,2,16,False
00011,2017-08-24,3,18,False
00011,2017-08-24,4,37,False
00011,2017-08-24,5,42,False
00011,2017-08-24,6,46,False
00011,2017-08-24,7,10,True
00012,2017-08-26,1,17,False
00012,2017-08-26,2,25,False
00012,2017-08-26,3,30,False
00012,2017-08-26,4,31,False
00012,2017-08-26,5,36,False
00012,2017-08-26,6,41,False
00012,2017-08-26,7,20,True
00013,2017-08-29,1,4,False
00013,2017-08-29,2,12,False
00013,2017-08-29,3,15,False
00013,2017-08-29,4,23,False
00013,2017-08-29,5,24,False
00013,2017-08-29,6,41,False
00013,2017-08-29,7,44,True
00014,2017-08-31,1,8,False
00014,2017-08-31,2,20,False
00014,2017-08-31,3,27,False
00014,2017-08-31,4,35,False
00014,2017-08-31,5,36,False
00014,2017-08-31,6,47,False
00014,2017-08-31,7,18,True
00015,2017-09-02,1,5,False
00015,2017-09-02,2,9,False
00015,2017-09-02,3,11,False
00015,2017-09-02,4,18,False
00015,2017-09-02,5,19,False
00015,2017-09-02,6,37,False
00015,2017-09-02,7,50,True
00016,2017-09-05,1,1,False
00016,2017-09-05,2,2,False
00016,2017-09-05,3,8,False
00016,2017-09-05,4,13,False
00016,2017-09-05,5,23,False
00016,2017-09-05,6,39,False
00016,2017-09-05,7,9,True
00017,2017-09-07,1,4,False
00017,2017-09-07,2,18,False
00017,2017-09-07,3,22,False
00017,2017-09-07,4,31,False
00017,2017-09-07,5,32,False
00017,2017-09-07,6,40,False
00017,2017-09-07,7,8,True
00018,2017-09-09,1,1,False
00018,2017-09-09,2,15,False
00018,2017-09-09,3,23,False
00018,2017-09-09,4,36,False
00018,2017-09-09,5,43,False
00018,2017-09-09,6,54,False
00018,2017-09-09,7,12,True
00019,2017-09-12,1,6,False
00019,2017-09-12,2,10,False
00019,2017-09-12,3,12,False
00019,2017-09-12,4,47,False
00019,2017-09-12,5,48,False
00019,2017-09-12,6,51,False
00019,2017-09-12,7,35,True
00020,2017-09-14,1,22,False
00020,2017-09-14,2,23,False
00020,2017-09-14,3,32,False
00020,2017-09-14,4,43,False
00020,2017-09-14,5,44,False
00020,2017-09-14,6,51,False
00020,2017-09-14,7,15,True
00021,2017-09-16,1,9,False
00021,2017-09-16,2,12,False
00021,2017-09-16,3,21,False
00021,2017-09-16,4,26,False
00021,2017-09-16,5,29,False
00021,2017-09-16,6,52,False
00021,2017-09-16,7,24,True
00022,2017-09-19,1,3,False
00022,2017-09-19,2,32,False
00022,2017-09-19,3,36,False
00022,2017-09-19,4,41,False
00022,2017-09-19,5,44,False
00022,2017-09-19,6,53,False
00022,2017-09-19,7,45,True
00023,2017-09-21,1,9,False
00023,2017-09-21,2,12,False
00023,2017-09-21,3,16,False
00023,2017-09-21,4,24,False
00023,2017-09-21,5,43,False
00023,2017-09-21,6,51,False
00023,2017-09-21,7,39,True
00024,2017-09-23,1,7,False
00024,2017-09-23,2,8,False
00024,2017-09-23,3,27,False
00024,2017-09-23,4,36,False
00024,2017-09-23,5,44,False
00024,2017-09-23,6,53,False
