metric,cell,observed_count,observed_share,null_prob,expected_count,null_lo,null_hi,reference,source_dataset_version,analysis_version,through_draw,override_ref
sum,<=80,12,0.01008403361,0.00763668444,9.087654484,4,15,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,81-90,11,0.009243697479,0.00933766936,11.11182654,5,18,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,91-100,22,0.01848739496,0.01683313111,20.03142602,12,29,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,101-110,22,0.01848739496,0.02752845625,32.75886294,22,44,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,111-120,53,0.04453781513,0.04130787944,49.15637654,36,63,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,121-130,59,0.04957983193,0.05729808975,68.1847268,53,84,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,131-140,81,0.06806722689,0.07380041342,87.82249197,71,106,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,141-150,91,0.07647058824,0.08859830267,105.4319802,87,125,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,151-160,121,0.1016806723,0.09942691665,118.3180308,98,139,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,161-170,104,0.08739495798,0.1044531889,124.2992948,104,145,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,171-180,137,0.1151260504,0.1027500998,122.2726188,102,143,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,181-190,111,0.09327731092,0.09463903959,112.6204571,93,133,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,191-200,116,0.0974789916,0.08155845141,97.05455718,79,116,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,201-210,76,0.06386554622,0.06561718957,78.08445559,62,95,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,211-220,72,0.06050420168,0.04911545231,58.44738825,44,73,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,221-230,50,0.04201680672,0.03406709458,40.53984255,29,53,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,231-240,23,0.01932773109,0.02177302781,25.90990309,17,36,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,241-250,16,0.01344537815,0.01270162566,15.11493454,8,23,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,251-260,6,0.005042016807,0.006675376664,7.94369823,3,14,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,>=261,7,0.005882352941,0.004881910542,5.809473545,2,11,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,1,139,0.1168067227,0.1090909091,129.8181818,109,151,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,2,100,0.08403361345,0.09898989899,117.7979798,98,138,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,3,115,0.09663865546,0.08965122927,106.6849628,88,126,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,4,89,0.07478991597,0.08103091877,96.42679333,78,115,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,5,89,0.07478991597,0.07308671104,86.97318614,70,105,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,6,68,0.05714285714,0.06577803994,78.27586753,62,95,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,7,57,0.04789915966,0.05906599505,70.28853411,55,87,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,8,66,0.05546218487,0.05291328723,62.9668118,48,79,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,9,58,0.0487394958,0.04728421412,56.2682148,42,71,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,10,50,0.04201680672,0.04214462563,50.1521045,37,64,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,11,49,0.04117647059,0.03746188945,44.57964844,32,58,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,12,51,0.04285714286,0.03320485656,39.5137793,28,52,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,13,40,0.03361344538,0.02934382672,34.9191538,24,47,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,14,30,0.02521008403,0.02585051402,30.76211168,21,42,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,15,25,0.02100840336,0.02269801231,27.01063465,17,38,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,16,23,0.01932773109,0.01986076077,23.63430532,15,33,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,17,17,0.01428571429,0.01731450939,20.60426617,12,30,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,18,24,0.02016806723,0.01503628447,17.89317852,10,27,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,19,17,0.01428571429,0.01300435414,15.47518142,8,24,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,20,14,0.01176470588,0.01119819384,13.32585067,7,21,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,21,12,0.01008403361,0.009598451863,11.42215772,5,18,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,22,13,0.01092436975,0.008186914824,9.742428641,4,16,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,23,10,0.008403361345,0.006946473184,8.266303089,3,14,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,24,6,0.005042016807,0.005861086749,6.974693231,2,13,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,25,3,0.002521008403,0.004915750177,5.84974271,2,11,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,>=26,25,0.02100840336,0.0204822924,24.37392796,15,34,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,<=30,34,0.02857142857,0.0204822924,24.37392796,15,34,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,31,4,0.003361344538,0.004915750177,5.84974271,2,11,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,32,7,0.005882352941,0.005861086749,6.974693231,2,13,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,33,7,0.005882352941,0.006946473184,8.266303089,3,14,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,34,6,0.005042016807,0.008186914824,9.742428641,4,16,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,35,12,0.01008403361,0.009598451863,11.42215772,5,18,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,36,12,0.01008403361,0.01119819384,13.32585067,7,21,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,37,9,0.00756302521,0.01300435414,15.47518142,8,24,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,38,14,0.01176470588,0.01503628447,17.89317852,10,27,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,39,18,0.01512605042,0.01731450939,20.60426617,12,30,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,40,31,0.02605042017,0.01986076077,23.63430532,15,33,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,41,29,0.0243697479,0.02269801231,27.01063465,17,38,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,42,28,0.02352941176,0.02585051402,30.76211168,21,42,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,43,34,0.02857142857,0.02934382672,34.9191538,24,47,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,44,47,0.03949579832,0.03320485656,39.5137793,28,52,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,45,37,0.03109243697,0.03746188945,44.57964844,32,58,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,46,47,0.03949579832,0.04214462563,50.1521045,37,64,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,47,55,0.04621848739,0.04728421412,56.2682148,42,71,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,48,72,0.06050420168,0.05291328723,62.9668118,48,79,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,49,74,0.06218487395,0.05906599505,70.28853411,55,87,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,50,70,0.05882352941,0.06577803994,78.27586753,62,95,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,51,98,0.08235294118,0.07308671104,86.97318614,70,105,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,52,92,0.07731092437,0.08103091877,96.42679333,78,115,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,53,110,0.09243697479,0.08965122927,106.6849628,88,126,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,54,114,0.09579831933,0.09898989899,117.7979798,98,138,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,55,129,0.1084033613,0.1090909091,129.8181818,109,151,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
range,<=19,20,0.01680672269,0.01537581915,18.29722479,10,27,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
range,20,4,0.003361344538,0.004679597132,5.568720588,2,11,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
range,21,12,0.01008403361,0.005682367947,6.762017856,2,12,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
range,22,15,0.01260504202,0.006812942884,8.107402032,3,14,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
range,23,10,0.008403361345,0.008074598974,9.608772779,4,16,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
range,24,8,0.006722689076,0.009469060967,11.26818255,5,18,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
range,25,14,0.01176470588,0.01099632887,13.08563135,7,21,exact,ds_cbdf3834368e,ds_16b6be697acb,01190,
