metric,n,obs_mean,obs_sd,obs_q05,obs_q25,obs_q50,obs_q75,obs_q95,null_mean,null_sd,null_q05,null_q25,null_q50,null_q75,null_q95,source_dataset_version,analysis_version,through_draw,override_ref
sum,1190,170.0537815,37.53919799,105.9,144.25,172,196,228,168,37.04051835,107,142,168,194,229,ds_cbdf3834368e,ds_16b6be697acb,01190,
min,1190,8.176470588,6.560384021,1,3,6,12,21,8,6.480740698,1,3,6,11,21,ds_cbdf3834368e,ds_16b6be697acb,01190,
max,1190,47.96890756,6.648564196,35,45,50,53,55,48,6.480740698,35,45,50,53,55,ds_cbdf3834368e,ds_16b6be697acb,01190,
range,1190,39.79243697,8.598498311,23,34,41,46,52,40,8.366600265,24,35,41,47,52,ds_cbdf3834368e,ds_16b6be697acb,01190,
odd_count,1190,3.087394958,1.13988436,1,2,3,4,5,3.054545455,1.166473813,1,2,3,4,5,ds_cbdf3834368e,ds_16b6be697acb,01190,
low_count,1190,2.891596639,1.19044979,1,2,3,4,5,2.945454545,1.166473813,1,2,3,4,5,ds_cbdf3834368e,ds_16b6be697acb,01190,
consecutive_pairs,1190,0.5336134454,0.6851515779,0,0,0,1,2,0.5454545455,0.6707861703,0,0,0,1,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
gap,5950,7.958487395,6.403724679,1,3,6,11,21,8,6.480740698,1,3,6,11,21,ds_cbdf3834368e,ds_16b6be697acb,01190,
max_gap,1190,17.37478992,5.979699587,9,13,17,21,28,17.60323357,5.941612233,9,13,17,21,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
min_gap,1190,2.079831933,1.311595426,1,1,2,3,5,2.045618828,1.27409611,1,1,2,3,5,ds_cbdf3834368e,ds_16b6be697acb,01190,
