draw_id,draw_date,n1,n2,n3,n4,n5,n6,sum,min,max,range,odd_count,even_count,low_count,high_count,gap_1,gap_2,gap_3,gap_4,gap_5,consecutive_pairs,max_gap,min_gap,source_dataset_version,analysis_version,through_draw,override_ref
00001,2017-08-01,5,10,14,23,24,38,114,5,38,33,2,4,5,1,5,4,9,1,14,1,14,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00002,2017-08-03,4,9,24,25,27,45,134,4,45,41,4,2,5,1,5,15,1,2,18,1,18,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00003,2017-08-05,1,5,11,32,40,45,134,1,45,44,4,2,3,3,4,6,21,8,5,0,21,4,ds_cbdf3834368e,ds_16b6be697acb,01190,
00004,2017-08-08,19,36,39,41,46,51,232,19,51,32,4,2,1,5,17,3,2,5,5,0,17,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00005,2017-08-10,10,11,19,41,50,54,185,10,54,44,3,3,3,3,1,8,22,9,4,1,22,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00006,2017-08-12,6,16,20,32,38,51,163,6,51,45,1,5,3,3,10,4,12,6,13,0,13,4,ds_cbdf3834368e,ds_16b6be697acb,01190,
00007,2017-08-15,7,11,19,32,33,51,153,7,51,44,5,1,3,3,4,8,13,1,18,1,18,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00008,2017-08-17,11,12,20,30,32,34,139,11,34,23,1,5,3,3,1,8,10,2,2,1,10,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00009,2017-08-19,7,11,13,15,26,51,123,7,51,44,5,1,5,1,4,2,2,11,25,0,25,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00010,2017-08-22,10,24,31,32,38,44,179,10,44,34,1,5,2,4,14,7,1,6,6,1,14,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00011,2017-08-24,5,16,18,37,42,46,164,5,46,41,2,4,3,3,11,2,19,5,4,0,19,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00012,2017-08-26,17,25,30,31,36,41,180,17,41,24,4,2,2,4,8,5,1,5,5,1,8,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00013,2017-08-29,4,12,15,23,24,41,119,4,41,37,3,3,5,1,8,3,8,1,17,1,17,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00014,2017-08-31,8,20,27,35,36,47,173,8,47,39,3,3,3,3,12,7,8,1,11,1,12,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00015,2017-09-02,5,9,11,18,19,37,99,5,37,32,5,1,5,1,4,2,7,1,18,1,18,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00016,2017-09-05,1,2,8,13,23,39,86,1,39,38,4,2,5,1,1,6,5,10,16,1,16,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00017,2017-09-07,4,18,22,31,32,40,147,4,40,36,1,5,3,3,14,4,9,1,8,1,14,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00018,2017-09-09,1,15,23,36,43,54,172,1,54,53,4,2,3,3,14,8,13,7,11,0,14,7,ds_cbdf3834368e,ds_16b6be697acb,01190,
00019,2017-09-12,6,10,12,47,48,51,174,6,51,45,2,4,3,3,4,2,35,1,3,1,35,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00020,2017-09-14,22,23,32,43,44,51,215,22,51,29,3,3,2,4,1,9,11,1,7,2,11,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00021,2017-09-16,9,12,21,26,29,52,149,9,52,43,3,3,4,2,3,9,5,3,23,0,23,3,ds_cbdf3834368e,ds_16b6be697acb,01190,
00022,2017-09-19,3,32,36,41,44,53,209,3,53,50,3,3,1,5,29,4,5,3,9,0,29,3,ds_cbdf3834368e,ds_16b6be697acb,01190,
00023,2017-09-21,9,12,16,24,43,51,155,9,51,42,3,3,4,2,3,4,8,19,8,0,19,3,ds_cbdf3834368e,ds_16b6be697acb,01190,
00024,2017-09-23,7,8,27,36,44,53,175,7,53,46,3,3,3,3,1,19,9,8,9,1,19,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00025,2017-09-26,14,15,18,30,36,49,162,14,49,35,2,4,3,3,1,3,12,6,13,1,13,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00026,2017-09-28,20,27,28,31,39,47,192,20,47,27,4,2,2,4,7,1,3,8,8,1,8,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00027,2017-09-30,4,17,23,25,34,46,149,4,46,42,3,3,4,2,13,6,2,9,12,0,13,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00028,2017-10-03,21,31,35,41,46,50,224,21,50,29,4,2,1,5,10,4,6,5,4,0,10,4,ds_cbdf3834368e,ds_16b6be697acb,01190,
00029,2017-10-05,1,3,14,19,35,41,113,1,41,40,5,1,4,2,2,11,5,16,6,0,16,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00030,2017-10-07,31,34,40,42,43,49,239,31,49,18,3,3,0,6,3,6,2,1,6,1,6,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00031,2017-10-10,29,33,43,44,45,50,244,29,50,21,4,2,0,6,4,10,1,1,5,2,10,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
