statistic,param,quantile,value,reps,seed,source_dataset_version,analysis_version,through_draw,override_ref
number_frequency_max,,0.975,167,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
number_frequency_min,,0.025,95,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
pair_count_max,,0.975,29,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
pair_count_min,,0.025,1,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
rolling_max_z,100,0.975,3.557592245,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
rolling_max_z,200,0.975,3.67029814,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
rolling_max_z,50,0.975,3.876494665,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
rolling_min_z,100,0.025,-2.857738033,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
rolling_min_z,200,0.025,-2.907370998,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
rolling_min_z,50,0.025,-2.474358297,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
special_frequency_max,,0.975,38,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
special_frequency_min,,0.025,8,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,0-1,0.025,-0.269878198,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,0-1,0.975,0.2717009377,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,0-1,mean,0.0003272786447,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,0-2,0.025,-0.2625684468,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,0-2,0.975,0.2631379434,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,0-2,mean,0.0004995197726,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,0-3,0.025,-0.2646221953,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,0-3,0.975,0.2629727987,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,0-3,mean,-0.001910822468,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,0-4,0.025,-0.2646477014,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,0-4,0.975,0.2668662457,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,0-4,mean,0.0007547430634,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,1-2,0.025,-0.2670813231,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,1-2,0.975,0.2684314619,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,1-2,mean,0.0009550795709,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,1-3,0.025,-0.2637845171,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,1-3,0.975,0.2619439711,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,1-3,mean,0.002012093885,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,1-4,0.025,-0.269876685,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,1-4,0.975,0.271685094,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,1-4,mean,-0.0004211398434,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,2-3,0.025,-0.2651535625,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
