metric,value,prob,source_dataset_version,analysis_version,through_draw,override_ref
sum,21,3.449504004e-08,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,22,3.449504004e-08,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,23,6.899008009e-08,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,24,1.034851201e-07,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,25,1.724752002e-07,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,26,2.414652803e-07,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,27,3.794454405e-07,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,28,4.829305606e-07,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,29,6.899008009e-07,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,30,8.968710412e-07,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,31,1.207326402e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,32,1.517781762e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,33,2.000712323e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,34,2.449147843e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,35,3.104553604e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,36,3.794454405e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,37,4.691325446e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,38,5.622691527e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,39,6.864512969e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,40,8.10633441e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,41,9.727601293e-06,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,42,1.141785825e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,43,1.348756066e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,44,1.566074818e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,45,1.83513613e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,46,2.111096451e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,47,2.445698339e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,48,2.797547748e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,49,3.211488228e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,50,3.646125733e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,51,4.160101829e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,52,4.691325446e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,53,5.312236167e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,54,5.964192424e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,55,6.709285289e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,56,7.492322698e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,57,8.389193739e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,58,9.32055982e-05,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,59,0.0001037955755,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,60,0.0001149029784,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,61,0.0001273556878,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,62,0.000140394813,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,63,0.00015502071,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,64,0.0001702330226,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,65,0.0001872045823,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,66,0.0002049695279,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,67,0.0002245627107,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,68,0.0002450527645,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,69,0.0002676815107,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,70,0.0002912071281,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,71,0.000317043913,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,72,0.0003440190344,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,73,0.0003734088085,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,74,0.000404040404,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,75,0.0004373971078,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,76,0.0004719956329,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,77,0.0005095262365,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,78,0.0005485401268,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,79,0.0005905550856,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,80,0.0006341568162,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,81,0.0006811045657,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,82,0.000729604592,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,83,0.0007816231124,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,84,0.0008354353748,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,85,0.0008928351215,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,86,0.0009520976003,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,87,0.001015258019,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,88,0.001080212179,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,89,0.001149236754,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,90,0.001220262042,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,91,0.001295357744,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,92,0.001372488653,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,93,0.001454000433,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,94,0.00153740944,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,95,0.001625302802,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,96,0.001715265866,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,97,0.001809678791,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,98,0.001906126923,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,99,0.00200726638,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,100,0.002110234075,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,101,0.002217962085,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,102,0.002327621817,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,103,0.002441903885,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,104,0.00255801419,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,105,0.0026789538,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,106,0.002801411192,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,107,0.002928663395,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,108,0.003057467874,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,109,0.003190860194,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,110,0.003325597821,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,111,0.003465026772,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,112,0.00360538709,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,113,0.003750335249,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,114,0.003896145783,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,115,0.004046199207,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,116,0.004196804552,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,117,0.004351687282,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,118,0.004506570012,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,119,0.004665488661,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,120,0.004824234835,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,121,0.004986568494,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,122,0.005148315737,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,123,0.005313546978,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,124,0.005477536399,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,125,0.005644699363,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,126,0.00581037904,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,127,0.005978645845,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,128,0.006144946434,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,129,0.006313696169,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,130,0.006479755292,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,131,0.006647849622,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,132,0.006812977379,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,133,0.006979519432,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,134,0.007142577487,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,135,0.007306842867,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,136,0.007466865358,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,137,0.007627681235,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,138,0.007783978261,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,139,0.007940378773,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,140,0.008091743009,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,141,0.008243038254,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,142,0.008388538333,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,143,0.008533520986,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,144,0.008672467008,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,145,0.008810240198,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,146,0.008941493825,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,147,0.009071402146,ds_cbdf3834368e,ds_16b6be697acb,01190,
