number,first_draw_id,last_draw_id,n_gaps,mean_gap,sd_gap,approx_expected_mean_gap,approx_expected_sd_gap,source_dataset_version,analysis_version,through_draw,override_ref
1,00003,01181,138,8.536231884,7.866736234,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,00016,01181,115,10.13043478,8.205177804,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
3,00022,01189,138,8.456521739,8.729611964,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
4,00002,01136,110,10.30909091,8.737502692,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
5,00001,01179,128,9.203125,9.852742034,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
6,00006,01190,115,10.29565217,9.189022735,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
7,00007,01189,112,10.55357143,10.42419162,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
8,00014,01187,138,8.5,8.294972534,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
9,00002,01190,133,8.932330827,7.40208354,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
10,00001,01180,122,9.663934426,8.678472136,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
11,00003,01179,138,8.52173913,8.099939075,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
12,00008,01186,136,8.661764706,7.034539747,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
13,00009,01190,128,9.2265625,9.268705151,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
14,00001,01187,119,9.966386555,8.455198755,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
15,00009,01185,115,10.22608696,9.129728642,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
16,00006,01188,114,10.36842105,9.636089206,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
17,00012,01184,122,9.606557377,9.687307345,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
18,00011,01183,134,8.746268657,9.052633536,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
19,00004,01188,123,9.62601626,9.617605419,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
20,00006,01178,131,8.946564885,8.827677608,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
21,00021,01185,126,9.238095238,8.235949074,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
22,00017,01155,144,7.902777778,7.687351745,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
23,00001,01183,142,8.323943662,7.882604329,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
24,00001,01189,133,8.932330827,8.063381019,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
25,00002,01186,122,9.704918033,9.390243332,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
26,00009,01185,122,9.639344262,8.632119123,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
27,00002,01177,116,10.12931034,9.358121488,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
28,00026,01188,107,10.85981308,12.04977773,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
29,00021,01187,142,8.211267606,8.18043938,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
30,00008,01186,117,10.06837607,8.703671932,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
31,00010,01182,127,9.228346457,8.654009967,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
32,00003,01179,141,8.340425532,8.290984594,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
33,00007,01183,133,8.842105263,7.141260929,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
34,00008,01188,143,8.251748252,8.030284694,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
35,00014,01168,122,9.459016393,8.597662128,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
36,00004,01175,119,9.840336134,9.059112084,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
37,00011,01187,115,10.22608696,10.40416657,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
38,00001,01178,127,9.267716535,8.763605132,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
39,00004,01189,128,9.2578125,8.415626722,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
40,00003,01181,135,8.725925926,8.917055291,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
41,00004,01184,149,7.919463087,7.634839047,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
42,00011,01185,138,8.507246377,8.249969146,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
43,00018,01175,141,8.205673759,6.977021193,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
44,00010,01190,134,8.805970149,7.018212197,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
45,00002,01184,120,9.85,7.435605913,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
46,00004,01155,132,8.71969697,7.98215031,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
47,00014,01185,139,8.424460432,7.445432816,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
48,00019,01182,136,8.551470588,7.558972939,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
49,00025,01190,134,8.694029851,8.103863009,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
50,00005,01187,122,9.68852459,9.855217997,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
51,00004,01188,152,7.789473684,6.369038913,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
52,00021,01182,131,8.86259542,8.504083507,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
53,00022,01174,135,8.533333333,7.394834825,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
54,00005,01190,124,9.556451613,8.374664094,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
55,00051,01189,128,8.890625,8.90123797,9.166666667,8.652167359,ds_cbdf3834368e,ds_16b6be697acb,01190,
