number,parity,band,count,n_draws,rel_freq,wilson_lo,wilson_hi,expected,null_lo,null_hi,z,sim_lo,sim_hi,source_dataset_version,analysis_version,through_draw,override_ref
1,odd,low,139,1190,0.1168067227,0.09977855581,0.1363009142,129.8181818,109,151,0.8537765697,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,even,low,116,1190,0.0974789916,0.08189926661,0.115649124,129.8181818,109,151,-1.284891471,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
3,odd,low,139,1190,0.1168067227,0.09977855581,0.1363009142,129.8181818,109,151,0.8537765697,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
4,even,low,111,1190,0.09327731092,0.0780373925,0.1111346765,129.8181818,109,151,-1.749819306,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
5,odd,low,129,1190,0.1084033613,0.09198325626,0.1273435705,129.8181818,109,151,-0.07607910027,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
6,even,low,116,1190,0.0974789916,0.08189926661,0.115649124,129.8181818,109,151,-1.284891471,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
7,odd,low,113,1190,0.09495798319,0.07958096884,0.1129416288,129.8181818,109,151,-1.563848172,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
8,even,low,139,1190,0.1168067227,0.09977855581,0.1363009142,129.8181818,109,151,0.8537765697,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
9,odd,low,134,1190,0.112605042,0.09587698285,0.1318261656,129.8181818,109,151,0.3888487347,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
10,even,low,123,1190,0.1033613445,0.08732170587,0.121953535,129.8181818,109,151,-0.6339925022,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
11,odd,low,139,1190,0.1168067227,0.09977855581,0.1363009142,129.8181818,109,151,0.8537765697,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
12,even,low,137,1190,0.1151260504,0.09821700908,0.1345119323,129.8181818,109,151,0.6678054357,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
13,odd,low,129,1190,0.1084033613,0.09198325626,0.1273435705,129.8181818,109,151,-0.07607910027,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
