period_type,period,partial,number,count,n_draws,expected,null_lo,null_hi,z,source_dataset_version,analysis_version,through_draw,override_ref
quarter,2017-Q3,True,1,3,27,2.945454545,0,6,0.03367175149,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,2,1,27,2.945454545,0,6,-1.200959136,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,3,1,27,2.945454545,0,6,-1.200959136,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,4,4,27,2.945454545,0,6,0.6509871954,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,5,4,27,2.945454545,0,6,0.6509871954,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,6,2,27,2.945454545,0,6,-0.5836436924,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,7,3,27,2.945454545,0,6,0.03367175149,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,8,3,27,2.945454545,0,6,0.03367175149,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,9,4,27,2.945454545,0,6,0.6509871954,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,10,4,27,2.945454545,0,6,0.6509871954,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,11,6,27,2.945454545,0,6,1.885618083,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,12,5,27,2.945454545,0,6,1.268302639,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,13,2,27,2.945454545,0,6,-0.5836436924,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,14,2,27,2.945454545,0,6,-0.5836436924,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,15,4,27,2.945454545,0,6,0.6509871954,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,16,3,27,2.945454545,0,6,0.03367175149,ds_cbdf3834368e,ds_16b6be697acb,01190,
