cell,observed_count,expected_count,null_share,source_dataset_version,analysis_version,through_draw,override_ref
1,783,778.2545455,0.109845384,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,686,692.7709091,0.09777994483,ds_cbdf3834368e,ds_16b6be697acb,01190,
3,569,616.6763757,0.08703971428,ds_cbdf3834368e,ds_16b6be697acb,01190,
4,541,548.9397395,0.0774791446,ds_cbdf3834368e,ds_16b6be697acb,01190,
5,504,488.6430473,0.06896867287,ds_cbdf3834368e,ds_16b6be697acb,01190,
6,461,434.9691605,0.06139296548,ds_cbdf3834368e,ds_16b6be697acb,01190,
7,394,387.1906837,0.0546493555,ds_cbdf3834368e,ds_16b6be697acb,01190,
8,353,344.6601094,0.04864645158,ds_cbdf3834368e,ds_16b6be697acb,01190,
9,298,306.801044,0.04330289965,ds_cbdf3834368e,ds_16b6be697acb,01190,
10,265,273.1003982,0.03854628062,ds_cbdf3834368e,ds_16b6be697acb,01190,
11,240,243.1014346,0.03431212909,ds_cbdf3834368e,ds_16b6be697acb,01190,
12,221,216.397579,0.03054305984,ds_cbdf3834368e,ds_16b6be697acb,01190,
13,220,192.6269111,0.02718799028,ds_cbdf3834368e,ds_16b6be697acb,01190,
14,179,171.4672608,0.02420144824,ds_cbdf3834368e,ds_16b6be697acb,01190,
15,146,152.631842,0.02154295582,ds_cbdf3834368e,ds_16b6be697acb,01190,
16,141,135.865367,0.01917648087,ds_cbdf3834368e,ds_16b6be697acb,01190,
17,117,120.9405869,0.01706994876,ds_cbdf3834368e,ds_16b6be697acb,01190,
18,109,107.6552124,0.01519480767,ds_cbdf3834368e,ds_16b6be697acb,01190,
19,99,95.82917206,0.01352564179,ds_cbdf3834368e,ds_16b6be697acb,01190,
20,83,85.30217272,0.01203982678,ds_cbdf3834368e,ds_16b6be697acb,01190,
21,84,75.93152689,0.01071722327,ds_cbdf3834368e,ds_16b6be697acb,01190,
22,66,67.59021926,0.009539903918,ds_cbdf3834368e,ds_16b6be697acb,01190,
23,67,60.16518537,0.008491910426,ds_cbdf3834368e,ds_16b6be697acb,01190,
24,46,53.5557794,0.007559037318,ds_cbdf3834368e,ds_16b6be697acb,01190,
25,37,47.67241021,0.006728639409,ds_cbdf3834368e,ds_16b6be697acb,01190,
26,37,42.43532718,0.005989460434,ds_cbdf3834368e,ds_16b6be697acb,01190,
27,33,37.77353936,0.005331480503,ds_cbdf3834368e,ds_16b6be697acb,01190,
28,33,33.62385342,0.004745780299,ds_cbdf3834368e,ds_16b6be697acb,01190,
29,34,29.93001717,0.004224420207,ds_cbdf3834368e,ds_16b6be697acb,01190,
30,21,26.64195718,0.0037603327,ds_cbdf3834368e,ds_16b6be697acb,01190,
31,23,23.71510016,0.003347226558,ds_cbdf3834368e,ds_16b6be697acb,01190,
32,17,21.10976882,0.002979501598,ds_cbdf3834368e,ds_16b6be697acb,01190,
33,30,18.79064412,0.002652172776,ds_cbdf3834368e,ds_16b6be697acb,01190,
34,19,16.72628656,0.00236080262,ds_cbdf3834368e,ds_16b6be697acb,01190,
35,11,14.8887101,0.002101441086,ds_cbdf3834368e,ds_16b6be697acb,01190,
36,14,13.25300277,0.001870572021,ds_cbdf3834368e,ds_16b6be697acb,01190,
37,9,11.79698909,0.001665065503,ds_cbdf3834368e,ds_16b6be697acb,01190,
38,10,10.50092944,0.001482135418,ds_cbdf3834368e,ds_16b6be697acb,01190,
39,10,9.347252514,0.001319301696,ds_cbdf3834368e,ds_16b6be697acb,01190,
40,7,8.320317181,0.001174356695,ds_cbdf3834368e,ds_16b6be697acb,01190,
41,4,7.406200437,0.001045335277,ds_cbdf3834368e,ds_16b6be697acb,01190,
42,8,6.592508695,0.0009304881714,ds_cbdf3834368e,ds_16b6be697acb,01190,
43,7,5.86820979,0.0008282582626,ds_cbdf3834368e,ds_16b6be697acb,01190,
44,8,5.223483436,0.0007372594829,ds_cbdf3834368e,ds_16b6be697acb,01190,
>=45,41,42.31723011,0.005972791829,ds_cbdf3834368e,ds_16b6be697acb,01190,
