number_i,number_j,count,expected,null_lo,null_hi,z,sim_lo,sim_hi,source_dataset_version,analysis_version,through_draw,override_ref
1,2,16,12.02020202,6,19,1.153744658,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,3,15,12.02020202,6,19,0.8638443507,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,4,11,12.02020202,6,19,-0.2957568794,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,5,14,12.02020202,6,19,0.5739440432,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,6,10,12.02020202,6,19,-0.5856571869,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,7,15,12.02020202,6,19,0.8638443507,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,8,14,12.02020202,6,19,0.5739440432,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,9,13,12.02020202,6,19,0.2840437357,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,10,12,12.02020202,6,19,-0.005856571869,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,11,14,12.02020202,6,19,0.5739440432,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,12,10,12.02020202,6,19,-0.5856571869,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,13,12,12.02020202,6,19,-0.005856571869,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,14,13,12.02020202,6,19,0.2840437357,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,15,7,12.02020202,6,19,-1.45535811,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,16,6,12.02020202,6,19,-1.745258417,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,17,11,12.02020202,6,19,-0.2957568794,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,18,14,12.02020202,6,19,0.5739440432,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,19,8,12.02020202,6,19,-1.165457802,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,20,20,12.02020202,6,19,2.313345888,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,21,16,12.02020202,6,19,1.153744658,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,22,15,12.02020202,6,19,0.8638443507,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,23,15,12.02020202,6,19,0.8638443507,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,24,13,12.02020202,6,19,0.2840437357,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,25,15,12.02020202,6,19,0.8638443507,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,26,14,12.02020202,6,19,0.5739440432,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,27,9,12.02020202,6,19,-0.8755574944,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,28,13,12.02020202,6,19,0.2840437357,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,29,12,12.02020202,6,19,-0.005856571869,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,30,12,12.02020202,6,19,-0.005856571869,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,31,11,12.02020202,6,19,-0.2957568794,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,32,6,12.02020202,6,19,-1.745258417,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,33,11,12.02020202,6,19,-0.2957568794,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,34,17,12.02020202,6,19,1.443644966,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,35,12,12.02020202,6,19,-0.005856571869,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
1,36,11,12.02020202,6,19,-0.2957568794,1,29,ds_cbdf3834368e,ds_16b6be697acb,01190,
