count,observed_pairs,null_prob,expected_pairs,source_dataset_version,analysis_version,through_draw,override_ref
3,2,0.001686026057,2.503748694,ds_cbdf3834368e,ds_16b6be697acb,01190,
4,13,0.005105390126,7.581504337,ds_cbdf3834368e,ds_16b6be697acb,01190,
5,15,0.01235712794,18.35033499,ds_cbdf3834368e,ds_16b6be697acb,01190,
6,40,0.02490339559,36.98154245,ds_cbdf3834368e,ds_16b6be697acb,01190,
7,72,0.0429819539,63.82820155,ds_cbdf3834368e,ds_16b6be697acb,01190,
8,85,0.0648566983,96.31219698,ds_cbdf3834368e,ds_16b6be697acb,01190,
9,125,0.08691679976,129.0714476,ds_cbdf3834368e,ds_16b6be697acb,01190,
10,147,0.1047436128,155.544265,ds_cbdf3834368e,ds_16b6be697acb,01190,
11,167,0.1146544184,170.2618114,ds_cbdf3834368e,ds_16b6be697acb,01190,
12,176,0.1149469042,170.6961527,ds_cbdf3834368e,ds_16b6be697acb,01190,
13,178,0.106285285,157.8336483,ds_cbdf3834368e,ds_16b6be697acb,01190,
14,123,0.0911791403,135.4010234,ds_cbdf3834368e,ds_16b6be697acb,01190,
15,129,0.07294331224,108.3208187,ds_cbdf3834368e,ds_16b6be697acb,01190,
16,72,0.05466096421,81.17153186,ds_cbdf3834368e,ds_16b6be697acb,01190,
17,52,0.03851859063,57.20010708,ds_cbdf3834368e,ds_16b6be697acb,01190,
18,30,0.02561355261,38.03612563,ds_cbdf3834368e,ds_16b6be697acb,01190,
19,25,0.01612195685,23.94110593,ds_cbdf3834368e,ds_16b6be697acb,01190,
20,13,0.009632046671,14.30358931,ds_cbdf3834368e,ds_16b6be697acb,01190,
21,6,0.0054759449,8.131778177,ds_cbdf3834368e,ds_16b6be697acb,01190,
22,11,0.002969099995,4.409113492,ds_cbdf3834368e,ds_16b6be697acb,01190,
23,0,0.001538557584,2.284758012,ds_cbdf3834368e,ds_16b6be697acb,01190,
24,1,0.0007633914542,1.133636309,ds_cbdf3834368e,ds_16b6be697acb,01190,
25,3,0.0003633120145,0.5395183416,ds_cbdf3834368e,ds_16b6be697acb,01190,
