number,parity,band,count,n_draws,rel_freq,wilson_lo,wilson_hi,expected,null_lo,null_hi,z,n_nonmissing,n_missing_special,sim_lo,sim_hi,source_dataset_version,analysis_version,through_draw,override_ref
1,odd,low,26,1190,0.0218487395,0.01495317585,0.03182142598,21.63636364,13,31,0.9467621367,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
2,even,low,22,1190,0.01848739496,0.01224009102,0.02783345352,21.63636364,13,31,0.07889684472,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
3,odd,low,23,1190,0.01932773109,0.01291314887,0.02883565999,21.63636364,13,31,0.2958631677,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
4,even,low,19,1190,0.01596638655,0.01024507064,0.02480268095,21.63636364,13,31,-0.5720021242,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
5,odd,low,22,1190,0.01848739496,0.01224009102,0.02783345352,21.63636364,13,31,0.07889684472,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
6,even,low,11,1190,0.009243697479,0.005169288696,0.01647634833,21.63636364,13,31,-2.307732708,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
7,odd,low,19,1190,0.01596638655,0.01024507064,0.02480268095,21.63636364,13,31,-0.5720021242,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
8,even,low,21,1190,0.01764705882,0.01157087969,0.02682740053,21.63636364,13,31,-0.1380694783,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
9,odd,low,30,1190,0.02521008403,0.01771517945,0.03576047965,21.63636364,13,31,1.814627429,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
10,even,low,20,1190,0.01680672269,0.01090577555,0.02581724036,21.63636364,13,31,-0.3550358012,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
11,odd,low,19,1190,0.01596638655,0.01024507064,0.02480268095,21.63636364,13,31,-0.5720021242,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
