level,block_a,block_b,first_draw_id_a,last_draw_id_a,first_draw_id_b,last_draw_id_b,pearson_r,mc_mean_r,mc_lo_r,mc_hi_r,source_dataset_version,analysis_version,through_draw,override_ref
number,0,1,00001,00238,00239,00476,-0.0600489683,0.0003272786447,-0.269878198,0.2717009377,ds_cbdf3834368e,ds_16b6be697acb,01190,
pair,0,1,00001,00238,00239,00476,0.02314880113,0.0002139960287,-0.0616575716,0.06370110722,ds_cbdf3834368e,ds_16b6be697acb,01190,
number,0,2,00001,00238,00477,00714,0.004040245418,0.0004995197726,-0.2625684468,0.2631379434,ds_cbdf3834368e,ds_16b6be697acb,01190,
pair,0,2,00001,00238,00477,00714,-0.006293074508,-5.031656856e-05,-0.06153029565,0.0630688848,ds_cbdf3834368e,ds_16b6be697acb,01190,
number,0,3,00001,00238,00715,00952,0.01524524924,-0.001910822468,-0.2646221953,0.2629727987,ds_cbdf3834368e,ds_16b6be697acb,01190,
pair,0,3,00001,00238,00715,00952,-0.0006774125038,-0.0004942845335,-0.06161408342,0.06178702595,ds_cbdf3834368e,ds_16b6be697acb,01190,
number,0,4,00001,00238,00953,01190,-0.08470313965,0.0007547430634,-0.2646477014,0.2668662457,ds_cbdf3834368e,ds_16b6be697acb,01190,
pair,0,4,00001,00238,00953,01190,-0.01836014871,0.000584097827,-0.06125960214,0.06274031061,ds_cbdf3834368e,ds_16b6be697acb,01190,
number,1,2,00239,00476,00477,00714,-0.1234643638,0.0009550795709,-0.2670813231,0.2684314619,ds_cbdf3834368e,ds_16b6be697acb,01190,
pair,1,2,00239,00476,00477,00714,-0.02832328583,0.0004504313813,-0.06204768682,0.06304974453,ds_cbdf3834368e,ds_16b6be697acb,01190,
number,1,3,00239,00476,00715,00952,-0.01703236236,0.002012093885,-0.2637845171,0.2619439711,ds_cbdf3834368e,ds_16b6be697acb,01190,
pair,1,3,00239,00476,00715,00952,0.004072942679,0.000176200222,-0.06100973317,0.06205881913,ds_cbdf3834368e,ds_16b6be697acb,01190,
number,1,4,00239,00476,00953,01190,0.1961214594,-0.0004211398434,-0.269876685,0.271685094,ds_cbdf3834368e,ds_16b6be697acb,01190,
pair,1,4,00239,00476,00953,01190,0.05295294714,-0.0005416865427,-0.06414605619,0.06268413705,ds_cbdf3834368e,ds_16b6be697acb,01190,
number,2,3,00477,00714,00715,00952,-0.09094688067,-0.0003242231203,-0.2651535625,0.2666226576,ds_cbdf3834368e,ds_16b6be697acb,01190,
pair,2,3,00477,00714,00715,00952,-0.02043481924,0.0002264892484,-0.061056891,0.06275292817,ds_cbdf3834368e,ds_16b6be697acb,01190,
number,2,4,00477,00714,00953,01190,-0.1006899909,0.0003078472028,-0.2639915583,0.2656886542,ds_cbdf3834368e,ds_16b6be697acb,01190,
pair,2,4,00477,00714,00953,01190,-0.00179300369,-0.0001430713585,-0.06209797004,0.06267707815,ds_cbdf3834368e,ds_16b6be697acb,01190,
number,3,4,00715,00952,00953,01190,0.1819171704,0.0007896127186,-0.2675039395,0.2638760816,ds_cbdf3834368e,ds_16b6be697acb,01190,
pair,3,4,00715,00952,00953,01190,0.00599406374,0.0004228710086,-0.06300444505,0.06379572773,ds_cbdf3834368e,ds_16b6be697acb,01190,
