number,count,n,p_null,p_raw,wilson_lo,wilson_hi,p_holm,interpretation,source_dataset_version,analysis_version,through_draw
1,139,1190,0.1090909091,0.4024445873,0.09977855581,0.1363009142,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
2,116,1190,0.1090909091,0.2093625172,0.08189926661,0.115649124,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
3,139,1190,0.1090909091,0.4024445873,0.09977855581,0.1363009142,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
4,111,1190,0.1090909091,0.08518825731,0.0780373925,0.1111346765,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
5,129,1190,0.1090909091,1,0.09198325626,0.1273435705,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
6,116,1190,0.1090909091,0.2093625172,0.08189926661,0.115649124,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
7,113,1190,0.1090909091,0.1248131642,0.07958096884,0.1129416288,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
8,139,1190,0.1090909091,0.4024445873,0.09977855581,0.1363009142,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
9,134,1190,0.1090909091,0.6757755963,0.09587698285,0.1318261656,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
10,123,1190,0.1090909091,0.5767471512,0.08732170587,0.121953535,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
11,139,1190,0.1090909091,0.4024445873,0.09977855581,0.1363009142,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
12,137,1190,0.1090909091,0.4858192049,0.09821700908,0.1345119323,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
13,129,1190,0.1090909091,1,0.09198325626,0.1273435705,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
14,120,1190,0.1090909091,0.3772686244,0.08499561965,0.1192538283,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
15,116,1190,0.1090909091,0.2093625172,0.08189926661,0.115649124,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
16,115,1190,0.1090909091,0.1775028263,0.08112611565,0.1147470107,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
17,123,1190,0.1090909091,0.5767471512,0.08732170587,0.121953535,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
18,135,1190,0.1090909091,0.609239536,0.09665668185,0.1327217309,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
19,124,1190,0.1090909091,0.6418524389,0.08809777488,0.1228527303,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
20,132,1190,0.1090909091,0.8162564421,0.09431852915,0.1300340906,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
21,127,1190,0.1090909091,0.8524156684,0.09042805067,0.1255482475,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
22,145,1190,0.1090909091,0.162866735,0.1044702905,0.1416607654,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
23,143,1190,0.1090909091,0.2264927801,0.102905218,0.1398753093,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
24,134,1190,0.1090909091,0.6757755963,0.09587698285,0.1318261656,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
25,123,1190,0.1090909091,0.5767471512,0.08732170587,0.121953535,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
26,123,1190,0.1090909091,0.5767471512,0.08732170587,0.121953535,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
27,117,1190,0.1090909091,0.2451610617,0.08267279673,0.1165508582,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
