id,hypothesis,statistic,null,n,N,replicate_mean,R,stream,p_sim,p_holm,decision,effect,source_dataset_version,analysis_version,through_draw
C1,H1,45.46498599,FRESH,1190,7140,48.94916975,10000,101,0.6206379362,1,not_reject,"{""dispersion_ratio"": 0.9278568570285257, ""max_abs_z"": 2.1555745075793484}",ds_aa8808303afa,ds_16b6be697acb,01190
C2,H2,53.64705882,FRESH,1190,7140,53.99140504,10000,101,0.4861513849,1,not_reject,"{""ratio"": 0.9934640522875816}",ds_aa8808303afa,ds_16b6be697acb,01190
C3,H3,12.04076958,FRESH,1190,7140,9.898945205,10000,101,0.2702729727,1,not_reject,"{""ci_halfwidth"": {""1"": 0.041347847426037754, ""2"": 0.041365246058167326, ""3"": 0.04138266667214582, ""4"": 0.041400109314299556, ""5"": 0.041417574031091704, ""6"": 0.04143506086912273, ""7"": 0.04145256987513093, ""8"": 0.04147010109599298, ""9"": 0.041487654578724456, ""10"": 0.04150523037048035}, ""overlap_minus_null"": {""1"": 0.003991130820399147, ""2"": -0.002188552188552184, ""3"": -0.042919506777973515, ""4"": 0.0005978844090143154, ""5"": -0.0030686612965094007, ""6"": 0.012684275184275173, ""7"": 0.02592791823561058, ""8"": -0.025949853868635575, ""9"": -0.013563236086521435, ""10"": -0.04268104776579351}}",ds_aa8808303afa,ds_16b6be697acb,01190
C4,H3,11.89911238,PERM,1190,7140,10,10000,102,0.2918708129,1,not_reject,"{""overlap_minus_perm_mean"": {""1"": 0.004192935239697104, ""2"": -0.001789393939394035, ""3"": -0.04230825610783484, ""4"": 0.0006921585160202248, ""5"": -0.0024268354430380112, ""6"": 0.012815456081081034, ""7"": 0.026442603550295818, ""8"": -0.025737648054145468, ""9"": -0.013541744284504609, ""10"": -0.0424298305084746}}",ds_aa8808303afa,ds_16b6be697acb,01190
C5,H3,7.120467382,FRESH,1190,7140,10.01310142,10000,101,0.7140285971,1,not_reject,"{""ci_halfwidth"": 0.05681756149393995, ""max_abs_r"": 0.039547384924916565, ""r"": {""1"": 0.021825836425979992, ""2"": 0.017919431120282252, ""3"": 0.039547384924916565, ""4"": -0.026455842200735713, ""5"": -0.029806588908850278, ""6"": -0.012399770924161993, ""7"": 0.011598239457587029, ""8"": -0.0014589940309709774, ""9"": 0.018257292099453072, ""10"": -0.03705714389543317}}",ds_aa8808303afa,ds_16b6be697acb,01190
C6,H3,11.50382979,FRESH,1190,7140,13.5812766,10000,101,0.498950105,1,not_reject,"{""R_runs"": 596, ""mu"": 584.496170212766, ""n_minus"": 539, ""n_plus"": 636, ""n_ties"": 15}",ds_aa8808303afa,ds_16b6be697acb,01190
C7,H4,362.3395276,PERM,1190,7140,392.230769,10000,102,0.8699130087,1,not_reject,"{""cramers_v"": 0.07964596112849333, ""perm_mean_v"": 0.08281793834830291, ""perm_q95_v"": 0.0874942092149689}",ds_aa8808303afa,ds_16b6be697acb,01190
C8,H4,52.35231895,PERM,1190,7140,56.00969103,10000,102,0.7193280672,1,not_reject,"{""perm_mean_v_roll"": 0.23401203159805095, ""v_roll"": 0.22655198716281874}",ds_aa8808303afa,ds_16b6be697acb,01190
C9,H5,0.04263072234,FRESH,1190,7140,0.02361932842,10000,101,0.0202979702,0.2638736126,not_reject,"{""ci95"": [167.92089582215394, 172.18666720305615], ""mean_minus_168"": 2.053781512605042}",ds_aa8808303afa,ds_16b6be697acb,01190
C10,H5,0.0154474826,FRESH,1190,7140,0.02187569787,10000,101,0.803919608,1,not_reject,"{""ci95"": [39.30389126826887, 40.28098268131096], ""mean_minus_40"": -0.20756302521008507}",ds_aa8808303afa,ds_16b6be697acb,01190
C11,H5,11.82820461,FRESH,1190,7140,6.048092581,10000,101,0.0699930007,0.7699230077,not_reject,"{""mean_minus_expected"": 0.032849503437738736, ""w"": 0.09969788233079428}",ds_aa8808303afa,ds_16b6be697acb,01190
C12,H5,10.58069672,FRESH,1190,7140,5.974123489,10000,101,0.09629037096,0.9629037096,not_reject,"{""mean_minus_expected"": -0.0538579067990832, ""w"": 0.09429391169138812}",ds_aa8808303afa,ds_16b6be697acb,01190
C13,H5,9.476009882,FRESH,1190,7140,3.003654975,10000,101,0.02319768023,0.2783721628,not_reject,"{""mean_minus_expected"": -0.011841100076394162, ""w"": 0.08923583088779319}",ds_aa8808303afa,ds_16b6be697acb,01190
