period,config,bin,n,p_mean,y_mean,p_min,p_max,experiment_id,analysis_version,source_dataset_version,code_version,spec_sha256
dev_pooled,B0,1,37950,0.1090909091,0.1090909091,0.1090909091,0.1090909091,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B1,0,3793,0.09298475658,0.1141576588,0.08174850979,0.09635036496,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B1,1,3796,0.09844031596,0.1074815595,0.09635367466,0.1003315554,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B1,2,3796,0.1016284088,0.1019494204,0.1003344482,0.1029254097,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B1,3,3794,0.1044933464,0.1080653664,0.102926337,0.1060318388,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B1,4,3796,0.1075614364,0.1059009484,0.1060338298,0.1091071695,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B1,5,3795,0.1108535588,0.1122529644,0.1091080107,0.1127183919,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B1,6,3794,0.1140585794,0.1175540327,0.1127194333,0.1153252102,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B1,7,3792,0.1165994428,0.1115506329,0.1153267592,0.117837619,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B1,8,3799,0.1194591232,0.1102921822,0.1178396072,0.1213699179,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
